===== BÁO CÁO BACKTEST XRPUSDT - CHIẾN LƯỢC RỦI RO MEDIUM =====

Ngày thực hiện: 2025-03-17 02:40:13
Symbol: XRPUSDT
Số ngày backtest: 30
Khung thời gian: multiple
Rủi ro mỗi lệnh: 2.0%
Đòn bẩy: 10x

Số dư ban đầu: 10000.0 USDT
Số dư cuối: 12843.530296258936 USDT
Lợi nhuận: 2843.53 USDT (28.44%)
Drawdown tối đa: 16.768165327022533%
Số lệnh: 48
Tỷ lệ thắng: 54.17%
Trung bình lãi mỗi lệnh thắng: 2.98%
Trung bình lỗ mỗi lệnh thua: -1.17%
Profit Factor: 3.00

DANH SÁCH GIAO DỊCH:
1. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 20363.25, Giá ra: 20142.07, P/L: -1.09%, Kết quả: THUA
28. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 20501.77, Giá ra: 21526.10, P/L: 5.00%, Kết quả: THẮNG
29. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 28711.50, Giá ra: 28882.79, P/L: -0.60%, Kết quả: THUA
30. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 20324.67, Giá ra: 20052.75, P/L: -1.34%, Kết quả: THUA
31. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 29910.16, Giá ra: 30832.23, P/L: 3.08%, Kết quả: THẮNG
32. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 25060.04, Giá ra: 24020.57, P/L: 4.15%, Kết quả: THẮNG
33. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 27047.61, Giá ra: 27363.84, P/L: -1.17%, Kết quả: THUA
34. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 27134.02, Giá ra: 26702.49, P/L: 1.59%, Kết quả: THẮNG
35. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 25214.44, Giá ra: 24578.30, P/L: 2.52%, Kết quả: THẮNG
36. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 29295.82, Giá ra: 28010.70, P/L: 4.39%, Kết quả: THẮNG
37. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 22914.61, Giá ra: 22726.42, P/L: -0.82%, Kết quả: THUA
38. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 27381.07, Giá ra: 27187.75, P/L: -0.71%, Kết quả: THUA
39. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 28086.03, Giá ra: 28541.13, P/L: -1.62%, Kết quả: THUA
40. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 21780.69, Giá ra: 21921.05, P/L: -0.64%, Kết quả: THUA
41. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 21293.55, Giá ra: 21017.80, P/L: -1.29%, Kết quả: THUA
42. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 27589.80, Giá ra: 27012.43, P/L: 2.09%, Kết quả: THẮNG
43. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 26846.02, Giá ra: 26447.66, P/L: -1.48%, Kết quả: THUA
44. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 29114.81, Giá ra: 28937.78, P/L: -0.61%, Kết quả: THUA
45. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 27397.88, Giá ra: 27799.40, P/L: -1.47%, Kết quả: THUA
46. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 22576.40, Giá ra: 23310.74, P/L: 3.25%, Kết quả: THẮNG
47. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 29757.78, Giá ra: 30799.53, P/L: 3.50%, Kết quả: THẮNG
48. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 20394.04, Giá ra: 20794.13, P/L: 1.96%, Kết quả: THẮNG
