===== BÁO CÁO BACKTEST XRPUSDT - CHIẾN LƯỢC RỦI RO HIGH =====

Ngày thực hiện: 2025-03-17 02:43:40
Symbol: XRPUSDT
Số ngày backtest: 30
Khung thời gian: multiple
Rủi ro mỗi lệnh: 5.0%
Đòn bẩy: 10x

Số dư ban đầu: 10000.0 USDT
Số dư cuối: 12302.173642176238 USDT
Lợi nhuận: 2302.17 USDT (23.02%)
Drawdown tối đa: 16.56164471945119%
Số lệnh: 46
Tỷ lệ thắng: 56.52%
Trung bình lãi mỗi lệnh thắng: 2.93%
Trung bình lỗ mỗi lệnh thua: -1.22%
Profit Factor: 3.12

DANH SÁCH GIAO DỊCH:
1. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 25076.45, Giá ra: 24145.84, P/L: 3.71%, Kết quả: THẮNG
30. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 25533.57, Giá ra: 25124.15, P/L: -1.60%, Kết quả: THUA
31. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 20562.87, Giá ra: 20818.30, P/L: -1.24%, Kết quả: THUA
32. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 27168.97, Giá ra: 26870.89, P/L: -1.10%, Kết quả: THUA
33. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 22976.77, Giá ra: 22211.63, P/L: 3.33%, Kết quả: THẮNG
34. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 26570.46, Giá ra: 26891.13, P/L: -1.21%, Kết quả: THUA
35. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 28080.88, Giá ra: 28478.77, P/L: -1.42%, Kết quả: THUA
36. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 23537.96, Giá ra: 22549.91, P/L: 4.20%, Kết quả: THẮNG
37. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 23514.51, Giá ra: 23133.87, P/L: 1.62%, Kết quả: THẮNG
38. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 25879.43, Giá ra: 25121.01, P/L: 2.93%, Kết quả: THẮNG
39. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 25963.35, Giá ra: 25664.57, P/L: -1.15%, Kết quả: THUA
40. SHORT 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 21079.60, Giá ra: 20729.81, P/L: 1.66%, Kết quả: THẮNG
41. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 25016.52, Giá ra: 25196.56, P/L: -0.72%, Kết quả: THUA
42. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 27819.65, Giá ra: 28232.33, P/L: 1.48%, Kết quả: THẮNG
43. LONG 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 26073.16, Giá ra: 27094.29, P/L: 3.92%, Kết quả: THẮNG
44. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 25360.63, Giá ra: 26159.40, P/L: 3.15%, Kết quả: THẮNG
45. SHORT 2024-02-05 12:00:00 -> 2024-02-06 15:45:00, Giá vào: 29153.91, Giá ra: 28510.67, P/L: 2.21%, Kết quả: THẮNG
46. LONG 2024-02-10 14:30:00 -> 2024-02-12 09:15:00, Giá vào: 22338.78, Giá ra: 22170.20, P/L: -0.75%, Kết quả: THUA
